Nr,1,2,3,4,5
Kod stacji,DsOsieczow21,KpZielBoryTu,MzGranicaKPN,SlZlotPotLes,WmPuszczaBor
Wskaźnik,Hg(TGM),Hg(TGM),Hg(TGM),Hg(TGM),Hg(TGM)
Czas uśredniania,1g,1g,1g,1g,1g
Jednostka,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3
Kod stanowiska,DsOsieczow21-Hg(TGM)-1g,KpZielBoryTu-Hg(TGM)-1g,MzGranicaKPN-Hg(TGM)-1g,SlZlotPotLes-Hg(TGM)-1g,WmPuszczaBor-Hg(TGM)-1g
01/01/23 01:00,1.5288299999999999,1.39,1.1299999999999999,1.42126,1.37015
01/01/23 02:00,1.7309000000000001,1.42,1.1200000000000001,1.5602199999999999,1.45631
01/01/23 03:00,1.65174,1.37,1.37,1.6029800000000001,1.4350499999999999
01/01/23 04:00,1.6360699999999999,1.43,1.5,1.5723400000000001,1.4536899999999999
01/01/23 05:00,1.60338,1.41,1.78,1.51501,1.3126500000000001
01/01/23 06:00,1.60721,1.42,1.75,1.4085300000000001,1.2174400000000001
01/01/23 07:00,1.5519499999999999,1.36,1.69,1.4317200000000001,1.3308
01/01/23 08:00,1.67041,1.34,1.9,1.5593900000000001,1.2501100000000001
01/01/23 09:00,1.53698,1.32,2.0099999999999998,1.4983200000000001,1.31809
01/01/23 10:00,1.5305800000000001,1.35,1.98,1.63626,1.4660299999999999
01/01/23 11:00,1.5527,1.37,2.13,1.4063099999999999,1.4083699999999999
01/01/23 12:00,1.59246,1.33,1.42,1.7019899999999999,1.50481
01/01/23 01:00,1.73872,1.36,1.31,1.5608,1.40564
01/01/23 02:00,1.79094,1.3,1.03,1.51633,1.30477
01/01/23 03:00,1.7286600000000001,1.36,0.88,1.3917200000000001,1.4779599999999999
01/01/23 04:00,1.89276,1.32,0.79,1.5454300000000001,1.3021499999999999
01/01/23 05:00,1.8135399999999999,1.35,0.59,1.61415,1.3355300000000001
01/01/23 06:00,1.8466899999999999,1.33,0.59,1.51722,1.3400099999999999
01/01/23 07:00,1.7438100000000001,1.26,0.51,1.62033,1.31728
01/01/23 08:00,1.7298100000000001,1.31,0.62,1.4252899999999999,1.29664
01/01/23 09:00,1.7079200000000001,1.29,0.71,1.35816,1.4518500000000001
01/01/23 10:00,1.69285,1.44,0.59,1.52007,1.36026
01/01/23 11:00,1.7580899999999999,1.39,0.8,1.50688,1.28854
01/02/23 12:00,1.61876,1.29,0.92,1.59016,1.37999
01/02/23 01:00,1.4476,1.62,0.97,1.5812200000000001,1.49064
01/02/23 02:00,1.5014700000000001,1.61,1.1000000000000001,1.58047,1.3101700000000001
01/02/23 03:00,1.52881,1.37,1.04,1.6867300000000001,1.2540899999999999
01/02/23 04:00,1.4258999999999999,1.48,1.18,1.3626400000000001,1.3265499999999999
01/02/23 05:00,1.5605199999999999,1.34,1.29,1.5299799999999999,1.3715299999999999
01/02/23 06:00,1.4545399999999999,1.41,0.9,1.4807699999999999,1.2661100000000001
01/02/23 07:00,1.3315699999999999,1.54,0.94,1.7536700000000001,1.2695000000000001
01/02/23 08:00,1.3544400000000001,1.49,1.22,1.76606,1.32609
01/02/23 09:00,1.3160700000000001,1.56,1.26,1.8403499999999999,1.08361
01/02/23 10:00,1.3284100000000001,1.54,1.25,1.7569399999999999,1.3481099999999999
01/02/23 11:00,1.40442,1.57,1.28,1.6143099999999999,1.47282
01/02/23 12:00,1.4590000000000001,1.5,1.34,1.70435,1.23729
01/02/23 01:00,1.52084,1.55,1.36,1.5865400000000001,1.26596
01/02/23 02:00,1.5272300000000001,1.49,1.55,2.58447,1.3908100000000001
01/02/23 03:00,1.4757499999999999,1.52,1.35,2.87134,1.4370700000000001
01/02/23 04:00,1.4985999999999999,1.52,1.38,1.7826,1.5004
01/02/23 05:00,1.69642,1.44,1.55,1.5525199999999999,1.3486100000000001
01/02/23 06:00,1.6594599999999999,1.49,1.35,1.64544,1.2978400000000001
01/02/23 07:00,1.7653000000000001,1.55,1.56,1.66909,1.3442700000000001
01/02/23 08:00,1.95858,1.48,1.61,1.4603900000000001,1.3050200000000001
01/02/23 09:00,2.1632199999999999,1.5,1.51,1.5095700000000001,1.3874500000000001
01/02/23 10:00,2.2570000000000001,1.38,1.37,1.56901,1.5607899999999999
01/02/23 11:00,2.2159399999999998,1.29,1.38,1.6258900000000001,1.4293100000000001
01/03/23 12:00,2.0482999999999998,1.47,1.61,1.6273500000000001,1.5585100000000001
01/03/23 01:00,1.9050499999999999,1.39,1.58,1.5846899999999999,1.4738
01/03/23 02:00,1.64476,1.44,1.74,1.64873,1.46516
01/03/23 03:00,1.60589,1.37,1.58,1.5584800000000001,1.5450600000000001
01/03/23 04:00,1.5545599999999999,1.41,1.72,1.8076000000000001,1.34883
01/03/23 05:00,1.66025,1.38,1.63,1.5956399999999999,1.41093
01/03/23 06:00,1.60914,1.4,1.6,1.4953799999999999,1.37503
01/03/23 07:00,1.61022,1.36,1.84,1.6223700000000001,1.3793599999999999
01/03/23 08:00,1.57169,1.43,2.17,1.5331600000000001,1.48888
01/03/23 09:00,1.5272600000000001,1.42,2.12,1.6204099999999999,1.2422299999999999
01/03/23 10:00,1.6277600000000001,1.41,2.0499999999999998,1.7151000000000001,1.2355499999999999
01/03/23 11:00,1.6522699999999999,1.22,2.5299999999999998,1.7012799999999999,1.34192
01/03/23 12:00,1.7100599999999999,1.42,2.93,1.65212,1.2865599999999999
01/03/23 01:00,1.6263799999999999,1.47,2.84,1.7067099999999999,1.24149
01/03/23 02:00,1.6528799999999999,1.49,2.83,1.65185,1.3172600000000001
01/03/23 03:00,1.68286,1.4,2.67,1.6941999999999999,1.3148299999999999
01/03/23 04:00,1.58646,1.37,2.74,1.46841,1.39767
01/03/23 05:00,1.4499200000000001,1.42,2.64,1.5771500000000001,1.20827
01/03/23 06:00,1.4676,1.4,2.5299999999999998,1.69739,1.3354999999999999
01/03/23 07:00,1.3951800000000001,1.29,2.2999999999999998,1.5209600000000001,1.2035199999999999
01/03/23 08:00,1.46919,1.38,2.06,1.53217,1.16194
01/03/23 09:00,1.4576899999999999,1.47,2.21,1.5508,1.3779699999999999
01/03/23 10:00,1.52504,1.33,2.25,1.5783,1.29132
01/03/23 11:00,1.46102,1.36,2.12,1.3931800000000001,1.2996700000000001
01/04/23 12:00,1.55593,1.32,2.2200000000000002,1.54586,1.48559
01/04/23 01:00,1.42231,1.29,2.15,1.5723100000000001,1.4098200000000001
01/04/23 02:00,1.4837100000000001,1.27,2.5099999999999998,1.59798,1.3401700000000001
01/04/23 03:00,1.35745,1.19,3.05,1.5472900000000001,1.2599199999999999
01/04/23 04:00,1.4778100000000001,1.1399999999999999,3.36,1.45312,1.1630499999999999
01/04/23 05:00,1.36656,1.26,3.39,2.0665499999999999,1.228
01/04/23 06:00,1.37086,1.25,3.43,2.1074000000000002,1.1917
01/04/23 07:00,1.3097300000000001,1.3,3.23,1.88364,1.22698
01/04/23 08:00,1.53928,1.33,3.13,1.5347299999999999,1.3306800000000001
01/04/23 09:00,1.6349499999999999,1.35,3.14,1.7657099999999999,1.18791
01/04/23 10:00,1.53498,1.38,2.75,1.94611,1.28833
01/04/23 11:00,1.5293000000000001,1.48,2.48,1.8614299999999999,1.2058199999999999
01/04/23 12:00,1.55905,1.58,2.57,1.7887200000000001,1.33491
01/04/23 01:00,1.56474,1.53,2.5499999999999998,1.70061,1.2940499999999999
01/04/23 02:00,1.63971,1.62,2.4700000000000002,1.67387,1.35686
01/04/23 03:00,1.4752000000000001,1.53,2.41,1.5942799999999999,1.3922399999999999
01/04/23 04:00,1.5477099999999999,1.51,2.5499999999999998,1.59578,1.4466399999999999
01/04/23 05:00,1.54783,1.51,2.37,1.63619,1.4738599999999999
01/04/23 06:00,1.6301300000000001,1.47,2.15,1.6518600000000001,1.4623699999999999
01/04/23 07:00,1.7819400000000001,1.38,1.78,1.67655,1.4677800000000001
01/04/23 08:00,1.78891,1.45,1.45,1.8045800000000001,1.6515
01/04/23 09:00,1.8600099999999999,1.35,1.32,1.67639,1.5381800000000001
01/04/23 10:00,1.84718,1.35,1.27,1.4557500000000001,1.5155000000000001